Students	60000
1	973 976 426 686
2	572 974 809 11
3	232 443 219 548
4	328 18 909 527
5	730 928 158 62
6	663 244 480 274
7	139 951 447 154
8	154 632 303 402
9	442 856 593 255
10	805 273 403 275
11	810 716 358 944
12	967 968 85 981
13	835 868 984 469
14	875 216 10 131
15	339 18 90 455
16	989 495 205 414
17	679 352 197 616
18	727 55 696 860
19	787 529 126 951
20	571 192 527 869
21	967 706 615 728
22	11 102 296 858
23	806 15 400 563
24	213 998 973 788
25	438 6 619 7
26	870 88 702 956
27	795 622 877 363
28	184 414 472 158
29	391 222 509 926
30	517 294 43 742
31	682 988 577 393
32	871 312 278 131
33	1000 850 942 15
34	946 360 76 114
35	620 673 273 929
36	237 245 422 564
37	542 69 256 224
38	293 741 710 279
39	180 633 334 489
40	9 822 339 333
41	256 789 263 21
42	576 944 811 641
43	854 745 431 363
44	487 935 959 476
45	758 200 361 605
46	852 9 711 289
47	930 599 84 671
48	93 897 792 521
49	206 689 71 885
50	4 880 66 55
51	67 68 270 237
52	43 784 798 565
53	669 238 336 120
54	705 611 990 325
55	117 373 567 782
56	773 550 67 940
57	368 666 186 364
58	276 575 616 85
59	29 651 552 218
60	994 684 608 560
61	752 321 616 110
62	466 104 483 892
63	895 244 428 56
64	504 498 768 257
65	594 96 772 776
66	398 230 441 728
67	449 221 107 189
68	140 312 79 710
69	538 884 791 928
70	183 464 946 962
71	595 848 218 598
72	502 113 556 792
73	803 815 908 393
74	963 777 936 847
75	769 7 756 713
76	311 469 745 410
77	982 917 648 639
78	384 218 676 290
79	214 803 359 477
80	557 768 38 179
81	115 39 234 83
82	749 840 252 828
83	476 839 421 373
84	789 62 61 511
85	498 168 535 216
86	357 857 603 32
87	687 912 528 928
88	193 82 155 946
89	902 487 158 681
90	792 217 270 787
91	460 94 926 473
92	331 225 236 807
93	150 805 542 720
94	143 9 261 162
95	449 465 2 174
96	669 549 581 524
97	248 206 130 603
98	435 381 696 823
99	904 965 997 601
100	280 95 312 188
101	501 39 993 970
102	755 893 141 193
103	778 110 430 359
104	335 73 620 184
105	316 612 482 197
106	841 495 791 827
107	208 566 943 552
108	283 723 10 980
109	627 201 763 202
110	123 528 918 694
111	427 809 555 90
112	830 892 110 396
113	130 234 339 332
114	488 456 230 338
115	446 367 535 123
116	104 636 817 954
117	786 776 898 213
118	255 225 66 112
119	37 380 374 101
120	635 396 829 115
121	261 661 89 728
122	129 450 584 952
123	869 464 574 261
124	30 540 835 513
125	256 895 68 497
126	127 839 342 394
127	838 120 236 520
128	465 341 908 493
129	928 199 926 519
130	733 533 941 784
131	926 177 652 83
132	382 669 880 554
133	820 783 324 865
134	792 297 651 907
135	135 5 393 256
136	13 961 742 517
137	12 742 957 561
138	887 724 145 470
139	335 483 602 253
140	616 275 340 507
141	424 665 675 62
142	211 891 797 162
143	77 975 476 1
144	544 463 915 75
145	468 337 372 969
146	182 128 168 237
147	685 778 143 227
148	531 772 276 49
149	485 630 982 860
150	310 843 606 839
151	214 806 429 337
152	830 432 616 941
153	662 967 187 405
154	66 567 118 510
155	65 477 213 857
156	64 13 292 993
157	369 949 672 148
158	759 641 926 607
159	339 56 369 464
160	940 619 69 194
161	108 33 47 592
162	672 240 363 571
163	243 938 492 862
164	191 216 645 854
165	518 351 757 508
166	969 638 17 255
167	112 600 901 38
168	375 629 463 557
169	118 51 601 573
170	114 899 294 780
171	866 227 626 659
172	422 40 119 590
173	747 761 686 779
174	818 427 803 614
175	969 239 366 624
176	45 1 886 164
177	866 49 939 207
178	761 39 214 833
179	203 205 628 61
180	396 296 146 22
181	196 985 498 110
182	595 487 522 782
183	824 898 531 259
184	604 182 764 254
185	354 173 599 403
186	982 619 853 576
187	923 455 983 335
188	67 812 685 420
189	444 863 800 999
190	671 589 239 159
191	47 906 223 631
192	624 902 301 286
193	796 6 635 593
194	865 794 15 876
195	406 538 935 125
196	997 931 354 781
197	281 371 59 824
198	387 480 746 766
199	231 852 407 371
200	121 432 430 987
201	909 81 259 939
202	401 167 853 30
203	89 81 474 737
204	243 168 314 265
205	641 183 711 358
206	671 338 382 242
207	529 196 959 928
208	251 756 820 612
209	117 544 788 652
210	64 276 239 346
211	198 508 288 337
212	499 411 321 201
213	192 588 778 872
214	485 974 967 62
215	459 313 740 416
216	590 16 378 642
217	447 692 855 388
218	328 977 619 408
219	741 729 221 870
220	799 65 980 127
221	483 154 653 318
222	884 305 898 902
223	493 487 557 57
224	388 533 210 569
225	165 375 648 687
226	128 600 275 816
227	885 669 678 171
228	929 423 830 494
229	270 69 432 103
230	895 92 498 118
231	8 295 496 348
232	132 180 563 732
233	474 639 635 22
234	296 527 918 905
235	546 449 237 582
236	960 254 157 859
237	279 559 913 587
238	805 497 369 399
239	169 942 242 566
240	93 344 558 581
241	739 869 641 314
242	674 798 534 827
243	126 718 520 838
244	44 111 777 494
245	106 110 198 123
246	627 757 24 743
247	784 484 554 883
248	461 398 289 926
249	755 330 995 456
250	985 663 607 612
251	97 285 153 32
252	436 234 30 782
253	9 972 644 509
254	667 732 320 724
255	240 995 345 326
256	866 169 346 603
257	712 770 902 810
258	728 255 389 756
259	911 944 599 690
260	150 713 454 270
261	679 985 297 659
262	366 837 196 538
263	16 168 885 78
264	803 922 266 44
265	377 585 565 182
266	583 900 724 853
267	747 982 347 436
268	764 412 641 887
269	452 216 315 999
270	902 846 205 334
271	280 867 607 637
272	449 338 411 258
273	973 58 537 765
274	844 550 919 758
275	584 888 968 758
276	875 128 758 815
277	488 920 879 84
278	68 85 351 335
279	75 111 36 316
280	367 997 766 727
281	277 162 813 553
282	365 849 170 780
283	114 751 534 370
284	689 529 250 527
285	399 308 96 938
286	922 494 727 242
287	574 9 323 589
288	615 872 169 706
289	410 425 169 733
290	534 325 37 422
291	978 845 900 677
292	264 319 225 482
293	844 639 385 616
294	699 73 450 419
295	929 127 899 792
296	742 317 466 439
297	850 366 221 544
298	754 211 466 146
299	842 912 350 824
300	890 183 996 980
301	569 123 853 495
302	498 209 402 368
303	195 803 738 666
304	186 69 88 778
305	139 999 745 116
306	957 401 870 678
307	802 629 104 860
308	118 962 322 677
309	416 148 161 775
310	238 373 269 990
311	840 900 735 248
312	555 743 554 719
313	805 897 714 773
314	628 22 754 346
315	618 774 189 490
316	936 603 806 261
317	780 312 378 716
318	380 707 127 331
319	502 695 612 317
320	341 409 346 987
321	328 587 312 851
322	149 392 956 283
323	577 177 923 582
324	344 980 792 26
325	782 322 86 922
326	984 848 890 314
327	53 441 958 371
328	260 71 681 271
329	954 334 762 878
330	141 56 696 428
331	768 280 321 510
332	672 560 190 366
333	462 889 343 166
334	444 511 278 858
335	432 527 543 22
336	301 124 952 226
337	601 692 102 715
338	106 298 589 49
339	811 315 350 992
340	515 380 399 688
341	486 869 31 744
342	17 175 571 302
343	475 73 966 848
344	190 516 764 155
345	589 169 462 224
346	998 777 964 76
347	833 25 320 871
348	204 499 699 848
349	516 759 901 428
350	418 659 20 166
351	435 205 300 957
352	97 199 684 548
353	131 282 294 250
354	843 140 475 268
355	745 270 426 958
356	683 989 684 910
357	364 50 258 198
358	624 136 312 653
359	886 615 567 143
360	658 687 734 745
361	305 530 12 267
362	587 458 152 943
363	49 578 591 569
364	469 889 400 854
365	433 514 24 85
366	229 277 331 233
367	566 731 66 439
368	5 43 299 302
369	79 612 613 38
370	84 703 983 38
371	845 558 400 712
372	870 847 138 230
373	464 975 31 279
374	177 701 691 808
375	663 1 45 558
376	297 788 937 570
377	915 377 759 804
378	705 786 533 2
379	520 681 638 414
380	962 928 397 282
381	109 66 32 18
382	379 216 568 954
383	40 787 223 733
384	259 239 605 974
385	432 16 844 480
386	76 636 106 21
387	636 918 917 696
388	806 103 496 14
389	817 481 936 728
390	702 371 305 755
391	908 382 658 451
392	217 772 795 505
393	640 994 523 384
394	449 842 927 78
395	507 746 911 689
396	433 911 352 727
397	536 206 764 951
398	837 799 310 711
399	429 627 464 579
400	144 511 79 917
401	233 212 223 977
402	202 332 875 335
403	964 18 683 399
404	78 800 921 500
405	732 247 834 529
406	555 868 738 229
407	773 652 874 386
408	210 942 562 128
409	461 918 117 122
410	959 612 238 363
411	816 188 607 615
412	161 640 793 143
413	223 341 656 566
414	833 133 452 201
415	106 224 152 964
416	329 951 750 334
417	55 849 80 369
418	854 57 11 688
419	501 415 394 456
420	535 913 450 91
421	333 156 66 656
422	360 79 781 160
423	26 214 854 535
424	218 796 323 324
425	727 115 109 753
426	410 740 231 179
427	427 9 712 72
428	475 83 683 767
429	856 483 67 880
430	924 680 551 514
431	941 667 932 159
432	455 492 322 509
433	732 317 726 616
434	552 331 836 765
435	506 762 904 982
436	931 634 674 897
437	346 911 906 74
438	180 246 906 373
439	878 2 192 333
440	42 133 243 147
441	1000 409 843 946
442	253 530 571 987
443	379 627 304 559
444	530 290 230 284
445	214 493 863 865
446	293 76 418 450
447	250 804 591 990
448	973 632 548 288
449	332 792 603 735
450	304 560 425 872
451	833 268 652 164
452	829 909 683 535
453	147 899 268 979
454	957 411 978 542
455	50 752 893 383
456	303 393 73 918
457	163 153 700 860
458	714 206 100 655
459	907 966 101 414
460	333 549 951 250
461	338 562 242 318
462	306 192 968 103
463	992 139 164 373
464	228 405 860 812
465	391 537 665 981
466	236 909 20 817
467	192 400 331 105
468	749 220 253 166
469	43 305 656 301
470	187 107 231 387
471	96 522 617 605
472	657 263 893 591
473	772 162 622 958
474	531 410 372 967
475	821 781 253 275
476	16 799 989 757
477	940 959 815 987
478	322 456 310 682
479	210 975 303 84
480	800 611 243 496
481	384 462 28 287
482	450 440 682 49
483	652 850 815 912
484	566 629 280 793
485	819 475 369 449
486	851 299 486 123
487	975 462 156 642
488	252 520 123 353
489	655 886 872 62
490	952 966 432 385
491	143 248 399 803
492	360 293 670 354
493	74 14 937 940
494	743 421 93 586
495	732 816 879 798
496	87 281 360 262
497	457 916 859 944
498	147 487 200 48
499	409 736 327 37
500	161 58 477 803
501	525 534 960 308
502	598 581 620 164
503	871 837 178 516
504	447 133 766 480
505	769 839 55 665
506	974 877 852 67
507	989 792 955 641
508	572 505 322 216
509	45 360 280 191
510	320 580 101 729
511	117 4 847 357
512	145 408 930 20
513	403 745 516 537
514	996 285 250 963
515	785 61 866 869
516	320 825 304 764
517	515 245 932 484
518	174 613 285 71
519	264 293 202 524
520	766 610 913 449
521	299 273 381 492
522	840 582 11 123
523	706 174 669 633
524	304 296 338 562
525	580 421 669 567
526	715 434 98 119
527	847 620 356 304
528	773 916 353 401
529	888 591 942 131
530	749 856 797 496
531	494 426 879 574
532	883 434 161 465
533	740 129 699 806
534	104 815 881 751
535	254 382 845 399
536	116 600 490 290
537	14 109 185 304
538	779 464 630 132
539	250 821 416 289
540	933 322 485 326
541	240 152 157 831
542	299 810 922 676
543	780 628 107 660
544	850 888 585 735
545	931 444 304 702
546	111 131 758 43
547	146 980 182 187
548	145 610 825 212
549	287 824 788 70
550	621 314 770 910
551	128 329 297 709
552	247 735 265 192
553	864 108 690 966
554	2 600 547 904
555	827 409 248 502
556	84 696 473 72
557	82 30 357 60
558	211 428 832 316
559	841 272 965 954
560	924 33 266 287
561	632 446 888 826
562	858 336 908 80
563	9 635 133 948
564	502 581 141 371
565	166 702 289 33
566	848 128 754 751
567	185 57 63 510
568	463 736 95 363
569	841 304 29 748
570	942 772 760 490
571	769 700 687 513
572	402 898 764 168
573	581 290 17 259
574	665 720 97 269
575	969 718 820 498
576	46 417 94 733
577	145 941 238 610
578	205 618 34 801
579	18 521 59 902
580	356 620 957 165
581	354 734 566 667
582	228 615 786 927
583	806 450 945 253
584	584 755 426 134
585	72 675 506 890
586	750 714 700 450
587	675 618 278 126
588	579 939 639 201
589	791 415 853 237
590	504 892 849 657
591	317 953 696 918
592	859 432 454 897
593	913 774 547 880
594	424 929 345 7
595	29 694 922 731
596	257 827 314 712
597	86 601 208 652
598	203 164 946 736
599	775 883 280 934
600	159 979 47 316
601	180 75 114 411
602	37 624 768 360
603	790 590 385 176
604	626 768 510 646
605	757 876 625 731
606	4 249 171 320
607	693 928 113 930
608	932 21 288 728
609	136 850 301 611
610	713 151 128 242
611	335 95 248 850
612	309 168 884 327
613	388 62 230 122
614	150 135 656 577
615	850 984 422 497
616	928 475 90 804
617	880 406 305 166
618	867 916 115 580
619	642 123 238 241
620	402 938 481 789
621	188 124 470 773
622	934 756 444 889
623	261 956 695 371
624	353 152 228 535
625	507 927 170 616
626	313 479 658 182
627	418 755 296 743
628	817 758 660 58
629	875 568 531 664
630	555 55 157 646
631	586 661 480 491
632	531 293 279 439
633	835 48 2 158
634	999 223 676 259
635	921 639 232 612
636	382 513 168 892
637	365 824 476 317
638	858 860 943 114
639	483 355 31 475
640	559 539 969 465
641	187 674 149 478
642	876 51 351 271
643	963 257 485 561
644	186 402 892 484
645	787 120 600 566
646	449 56 218 890
647	402 367 303 970
648	475 809 435 110
649	758 535 868 96
650	384 655 450 609
651	619 558 475 508
652	687 230 755 613
653	308 346 517 108
654	692 555 679 436
655	319 346 789 405
656	427 621 893 237
657	30 973 949 735
658	85 824 173 611
659	113 444 60 957
660	69 373 279 759
661	279 394 463 311
662	84 571 115 201
663	910 625 714 645
664	342 326 221 110
665	766 481 823 206
666	904 304 37 407
667	409 633 584 538
668	355 913 312 674
669	194 507 326 805
670	509 697 496 816
671	671 195 69 26
672	609 779 948 124
673	63 465 639 316
674	520 711 299 97
675	981 373 22 178
676	771 458 404 906
677	964 95 894 327
678	869 276 848 875
679	478 795 997 293
680	252 925 151 748
681	977 757 810 290
682	368 995 413 763
683	282 529 734 423
684	867 130 357 784
685	15 557 830 353
686	597 578 415 805
687	82 613 22 935
688	120 817 771 180
689	212 357 539 222
690	779 954 19 808
691	405 526 298 407
692	893 236 423 359
693	697 577 865 982
694	546 280 608 305
695	56 100 631 406
696	574 561 832 197
697	370 919 810 35
698	752 296 969 133
699	428 659 958 957
700	921 107 671 801
701	504 421 722 605
702	760 738 230 875
703	676 398 702 745
704	177 679 70 727
705	281 473 360 467
706	843 758 892 641
707	961 267 160 353
708	235 620 7 758
709	622 707 252 833
710	622 570 499 932
711	247 887 276 93
712	891 411 474 609
713	883 884 112 574
714	697 769 787 578
715	372 266 690 223
716	457 889 359 159
717	288 184 300 196
718	880 33 348 991
719	364 332 184 603
720	279 426 240 82
721	181 553 596 254
722	695 168 159 202
723	218 551 906 92
724	944 638 524 994
725	459 977 789 120
726	52 702 510 449
727	626 157 10 239
728	207 475 632 464
729	766 854 826 292
730	246 475 180 282
731	356 756 569 63
732	928 748 166 530
733	311 837 534 662
734	715 953 891 434
735	281 326 917 978
736	552 458 249 544
737	403 808 166 418
738	190 203 396 940
739	251 882 776 158
740	915 474 484 501
741	43 870 271 519
742	166 743 729 249
743	315 332 809 901
744	414 423 214 183
745	184 498 652 892
746	844 732 465 310
747	975 282 482 789
748	832 849 37 746
749	498 259 408 811
750	963 192 35 883
751	487 815 343 683
752	332 990 758 618
753	748 720 305 104
754	170 230 425 541
755	396 518 127 883
756	437 750 225 804
757	113 472 8 130
758	852 466 819 124
759	800 273 290 970
760	2 696 729 978
761	69 375 897 697
762	575 119 4 623
763	58 575 861 150
764	477 156 935 970
765	667 460 486 352
766	561 461 606 733
767	914 406 747 157
768	1 773 500 502
769	307 95 706 837
770	600 465 557 258
771	935 858 991 97
772	65 849 306 359
773	340 532 733 986
774	789 731 217 5
775	555 690 64 17
776	849 790 965 226
777	612 737 217 660
778	726 480 340 804
779	28 238 553 13
780	599 902 110 696
781	71 754 760 245
782	559 926 673 770
783	377 992 76 71
784	901 816 683 362
785	912 48 364 524
786	546 301 975 528
787	79 432 926 780
788	414 338 702 613
789	548 281 114 468
790	682 221 613 982
791	103 691 280 158
792	859 516 679 829
793	741 951 195 667
794	432 252 165 30
795	34 518 702 480
796	371 492 938 81
797	688 400 351 686
798	907 514 933 790
799	797 710 545 880
800	964 586 474 128
801	957 823 771 204
802	162 982 722 575
803	36 481 798 53
804	372 451 842 379
805	138 645 380 42
806	366 832 636 364
807	969 647 845 461
808	257 865 278 321
809	631 453 151 829
810	36 581 480 549
811	613 407 445 136
812	733 777 886 828
813	589 901 876 16
814	398 259 756 957
815	503 793 455 406
816	388 471 998 979
817	257 272 38 212
818	181 92 474 440
819	285 74 83 128
820	254 960 46 285
821	218 616 708 24
822	430 443 240 533
823	804 670 708 260
824	407 969 554 477
825	304 638 610 876
826	140 998 358 961
827	577 378 554 850
828	147 132 89 238
829	164 776 780 511
830	773 432 904 11
831	780 961 746 785
832	948 250 269 530
833	752 125 475 122
834	998 44 8 35
835	112 398 543 869
836	615 736 183 406
837	239 148 234 341
838	193 101 810 615
839	187 343 777 69
840	341 610 814 464
841	92 344 263 511
842	541 883 814 141
843	316 608 779 12
844	606 646 314 313
845	348 295 544 987
846	784 653 604 843
847	812 701 341 59
848	118 547 228 728
849	301 778 339 389
850	948 61 169 527
851	208 735 484 545
852	215 253 23 358
853	142 857 984 29
854	611 705 278 549
855	1000 250 75 16
856	445 752 500 147
857	287 138 151 973
858	523 835 649 786
859	802 757 580 533
860	251 1 963 871
861	389 607 974 437
862	650 459 883 635
863	44 43 482 400
864	950 819 219 405
865	316 736 704 477
866	958 313 376 294
867	591 551 151 871
868	463 881 769 658
869	565 769 807 175
870	503 452 687 860
871	906 376 208 684
872	468 151 790 274
873	899 380 661 796
874	635 440 87 8
875	642 683 654 500
876	930 389 741 535
877	176 112 256 591
878	405 386 261 260
879	794 591 317 582
880	197 584 715 78
881	661 289 577 240
882	459 304 380 135
883	779 838 385 288
884	103 430 853 345
885	292 313 555 111
886	15 545 21 679
887	88 763 74 217
888	763 207 447 895
889	678 528 763 814
890	727 281 659 158
891	372 408 706 93
892	16 685 566 973
893	816 83 264 739
894	491 288 700 923
895	108 799 735 705
896	692 901 298 999
897	790 455 269 554
898	537 509 272 728
899	213 704 514 503
900	153 940 970 840
901	961 572 512 852
902	346 135 269 12
903	235 411 828 667
904	797 73 928 41
905	382 701 511 413
906	226 198 334 916
907	5 335 476 743
908	471 861 735 389
909	465 537 115 796
910	602 917 796 60
911	876 502 456 169
912	971 106 886 463
913	141 158 10 195
914	346 265 746 336
915	931 213 509 273
916	93 734 375 61
917	16 780 78 790
918	712 528 749 259
919	778 433 88 588
920	896 10 730 655
921	286 489 779 41
922	676 808 905 621
923	833 713 15 545
924	153 659 341 257
925	407 360 973 620
926	781 743 234 482
927	190 692 366 898
928	152 787 207 352
929	772 664 820 968
930	765 906 603 769
931	486 476 378 446
932	305 702 417 788
933	912 67 696 642
934	567 631 681 991
935	371 456 404 890
936	249 995 998 763
937	958 8 261 956
938	515 259 622 852
939	468 352 204 916
940	388 506 940 314
941	382 676 106 580
942	764 35 472 771
943	951 546 104 813
944	58 24 533 943
945	261 269 624 87
946	299 150 512 586
947	126 995 821 238
948	760 852 333 275
949	570 457 36 633
950	76 653 5 963
951	631 279 965 937
952	159 578 373 903
953	269 214 709 236
954	109 248 75 266
955	146 591 533 509
956	779 686 459 800
957	167 470 191 371
958	573 182 700 925
959	737 708 901 554
960	595 862 652 956
961	839 231 622 809
962	244 739 20 561
963	212 248 125 779
964	957 99 284 118
965	78 115 422 944
966	832 58 453 390
967	121 771 563 892
968	541 983 97 803
969	660 462 425 35
970	33 285 330 677
971	272 512 124 375
972	267 760 367 945
973	403 461 873 84
974	364 270 26 254
975	906 813 663 460
976	377 47 100 857
977	790 952 910 308
978	90 325 807 382
979	893 538 315 111
980	313 652 368 651
981	843 517 406 826
982	761 875 464 586
983	27 803 320 677
984	473 367 306 665
985	314 12 81 606
986	200 313 390 219
987	405 6 371 450
988	229 89 710 675
989	224 564 522 517
990	906 929 526 962
991	267 310 783 603
992	8 632 411 84
993	418 343 808 179
994	610 200 616 25
995	73 554 135 592
996	612 570 891 827
997	831 250 438 665
998	579 802 126 438
999	773 569 32 213
1000	950 934 548 667
1001	598 359 439 670
1002	911 438 785 373
1003	486 638 822 143
1004	462 671 773 840
1005	561 504 768 987
1006	295 951 361 159
1007	276 366 170 181
1008	84 958 482 277
1009	879 655 963 610
1010	731 926 915 352
1011	318 791 79 615
1012	902 722 990 928
1013	650 998 240 46
1014	936 274 86 492
1015	14 731 190 416
1016	814 956 383 926
1017	721 888 509 624
1018	433 499 149 435
1019	863 684 435 194
1020	854 691 774 610
1021	122 67 3 891
1022	563 647 876 368
1023	124 790 381 107
1024	12 714 84 646
1025	787 829 486 403
1026	898 127 471 918
1027	577 662 853 173
1028	677 378 262 760
1029	499 18 239 473
1030	805 908 96 952
1031	943 110 649 666
1032	68 104 63 836
1033	226 46 286 705
1034	144 799 760 966
1035	750 39 455 542
1036	256 431 797 376
1037	281 312 571 361
1038	334 778 586 183
1039	699 66 268 88
1040	651 692 685 583
1041	978 712 29 897
1042	283 611 729 750
1043	839 639 924 234
1044	59 682 716 571
1045	704 125 777 227
1046	917 222 465 643
1047	92 689 559 216
1048	675 913 160 449
1049	600 49 863 523
1050	296 533 216 186
1051	933 101 81 538
1052	636 288 118 290
1053	255 793 299 632
1054	555 759 540 284
1055	277 541 993 420
1056	971 317 758 238
1057	108 888 314 416
1058	157 371 341 773
1059	868 427 138 171
1060	92 198 137 250
1061	467 625 57 584
1062	203 835 501 734
1063	74 215 186 168
1064	380 748 235 338
1065	875 185 839 776
1066	425 26 23 487
1067	296 125 504 2
1068	437 186 595 476
1069	612 63 391 570
1070	355 726 46 543
1071	10 504 112 279
1072	376 584 410 336
1073	790 511 169 279
1074	334 377 990 542
1075	619 1000 456 290
1076	696 701 785 856
1077	494 333 290 501
1078	131 199 303 538
1079	209 151 819 499
1080	823 825 104 250
1081	507 55 602 122
1082	611 435 406 741
1083	856 923 545 568
1084	751 866 199 215
1085	727 605 369 446
1086	629 711 397 874
1087	555 262 266 702
1088	992 298 685 261
1089	74 868 412 532
1090	375 781 898 444
1091	587 217 597 425
1092	191 835 966 62
1093	810 352 273 502
1094	647 173 659 473
1095	334 494 979 153
1096	982 993 670 18
1097	426 388 226 784
1098	769 512 819 495
1099	835 497 617 177
1100	963 930 512 451
1101	506 602 188 548
1102	132 538 934 869
1103	627 208 695 919
1104	858 200 833 104
1105	231 595 853 810
1106	574 79 165 706
1107	641 478 325 574
1108	236 337 339 886
1109	433 50 620 951
1110	78 513 242 957
1111	199 558 904 498
1112	368 385 769 12
1113	354 717 128 636
1114	509 481 96 483
1115	395 963 839 965
1116	81 791 518 997
1117	534 982 454 365
1118	359 871 279 122
1119	391 993 810 142
1120	707 299 447 147
1121	462 986 310 157
1122	728 337 552 95
1123	421 494 34 414
1124	463 737 410 493
1125	934 490 794 99
1126	9 889 274 269
1127	526 696 204 398
1128	869 837 223 344
1129	248 946 504 740
1130	3 304 468 91
1131	319 197 52 284
1132	55 498 107 870
1133	666 492 101 583
1134	438 390 689 252
1135	305 446 737 349
1136	44 119 834 409
1137	791 808 619 157
1138	105 371 85 359
1139	550 284 471 765
1140	367 911 99 406
1141	780 56 101 401
1142	97 905 265 191
1143	720 398 115 64
1144	601 322 859 178
1145	541 359 367 358
1146	868 513 862 326
1147	792 745 641 870
1148	689 971 656 912
1149	335 516 990 415
1150	77 440 920 185
1151	961 302 695 760
1152	122 747 158 591
1153	435 923 789 567
1154	455 204 480 812
1155	533 708 671 381
1156	353 947 444 756
1157	761 898 414 467
1158	152 368 993 921
1159	833 636 998 162
1160	13 621 776 293
1161	639 869 825 216
1162	302 297 449 23
1163	427 979 588 259
1164	809 495 854 663
1165	109 140 748 168
1166	764 922 334 678
1167	172 174 626 577
1168	172 140 830 252
1169	423 174 411 208
1170	269 771 812 182
1171	904 256 146 1000
1172	21 258 557 774
1173	672 619 141 262
1174	450 810 744 222
1175	772 470 93 172
1176	235 252 858 891
1177	661 529 616 14
1178	468 831 442 319
1179	532 517 797 461
1180	677 453 785 485
1181	492 472 866 77
1182	210 440 262 100
1183	307 777 66 959
1184	876 672 151 250
1185	463 509 315 101
1186	290 883 442 694
1187	629 85 327 633
1188	711 947 826 544
1189	241 223 443 558
1190	311 258 796 824
1191	765 888 515 990
1192	685 646 546 655
1193	433 280 889 192
1194	124 861 142 367
1195	641 875 648 876
1196	654 320 253 930
1197	984 208 46 376
1198	46 699 610 457
1199	880 401 274 255
1200	100 939 204 421
1201	59 367 475 856
1202	266 429 188 417
1203	755 302 249 109
1204	287 420 367 993
1205	316 304 706 630
1206	915 253 151 82
1207	71 912 510 789
1208	918 576 850 59
1209	730 964 235 938
1210	514 535 239 299
1211	286 383 814 460
1212	119 900 366 367
1213	385 451 789 620
1214	770 146 725 676
1215	385 634 607 486
1216	865 808 994 518
1217	882 303 172 309
1218	964 837 748 852
1219	305 501 490 870
1220	181 251 735 147
1221	289 487 262 211
1222	377 125 526 873
1223	942 941 952 121
1224	732 830 618 930
1225	773 570 973 458
1226	492 488 356 444
1227	23 349 325 152
1228	631 817 361 849
1229	351 774 246 269
1230	942 870 503 126
1231	384 338 144 76
1232	582 721 840 393
1233	388 871 394 410
1234	427 783 371 772
1235	433 552 361 14
1236	683 299 870 621
1237	779 127 354 690
1238	65 508 585 756
1239	833 354 97 277
1240	518 141 51 255
1241	968 748 677 481
1242	916 175 851 794
1243	702 462 883 533
1244	346 252 685 240
1245	199 544 310 503
1246	634 745 746 404
1247	844 869 567 834
1248	523 246 18 433
1249	681 752 499 359
1250	482 147 784 316
1251	820 632 342 590
1252	481 66 308 367
1253	566 242 360 560
1254	174 112 423 371
1255	870 356 582 892
1256	863 362 471 241
1257	901 557 962 26
1258	273 454 862 718
1259	997 461 422 756
1260	678 935 324 582
1261	963 485 961 305
1262	120 824 777 356
1263	725 556 283 185
