Class Times	1000
Rooms	1000
1	817
2	495
3	64
4	358
5	169
6	103
7	901
8	933
9	163
10	298
11	190
12	52
13	577
14	709
15	666
16	187
17	940
18	284
19	187
20	786
21	820
22	253
23	95
24	598
25	917
26	152
27	328
28	805
29	493
30	501
31	78
32	443
33	712
34	780
35	563
36	579
37	911
38	429
39	761
40	765
41	537
42	104
43	204
44	934
45	449
46	609
47	951
48	855
49	756
50	731
51	44
52	108
53	674
54	212
55	355
56	160
57	402
58	551
59	760
60	578
61	747
62	224
63	161
64	708
65	685
66	698
67	984
68	553
69	207
70	979
71	292
72	61
73	173
74	885
75	740
76	731
77	584
78	965
79	601
80	316
81	790
82	926
83	46
84	258
85	138
86	696
87	551
88	175
89	513
90	151
91	945
92	681
93	598
94	189
95	181
96	449
97	713
98	84
99	673
100	866
101	943
102	752
103	680
104	807
105	731
106	112
107	291
108	914
109	426
110	140
111	560
112	302
113	233
114	997
115	171
116	281
117	885
118	797
119	23
120	344
121	78
122	129
123	570
124	521
125	814
126	101
127	364
128	952
129	587
130	994
131	602
132	261
133	756
134	363
135	167
136	46
137	765
138	216
139	449
140	188
141	204
142	362
143	246
144	686
145	99
146	196
147	882
148	224
149	35
150	560
151	962
152	681
153	126
154	188
155	71
156	329
157	803
158	528
159	883
160	527
161	835
162	926
163	973
164	607
165	68
166	385
167	530
168	544
169	190
170	860
171	256
172	967
173	706
174	680
175	982
176	899
177	752
178	387
179	813
180	747
181	389
182	218
183	27
184	665
185	818
186	673
187	331
188	352
189	403
190	282
191	632
192	319
193	446
194	761
195	602
196	262
197	293
198	623
199	303
200	521
201	191
202	127
203	878
204	416
205	784
206	882
207	745
208	344
209	439
210	760
211	451
212	275
213	208
214	612
215	626
216	456
217	996
218	973
219	74
220	694
221	644
222	63
223	453
224	426
225	797
226	220
227	561
228	104
229	641
230	811
231	984
232	544
233	59
234	166
235	302
236	210
237	13
238	30
239	539
240	259
241	289
242	82
243	423
244	117
245	634
246	339
247	794
248	729
249	845
250	660
251	364
252	333
253	999
254	960
255	406
256	710
257	455
258	125
259	697
260	926
261	951
262	269
263	977
264	383
265	358
266	964
267	339
