Class Times	17
Rooms	67
DAL119	35
BYC127	30
TAYG	31
TAYE	23
BYC106	14
TAYD	28
TH121	12
PK25	47
PK100	43
TH224	48
EHLEC	35
DAL25	19
DAL2	29
RCSEM	8
TH223	10
RCCON	10
PK10	5
PK229	30
PK227	6
TH251	13
PK278	69
TAYC	17
TAYB	25
PK243	55
PK234	40
GOB	14
DAL300	28
TAYF	41
PK259	23
CARP25	18
CARP13	12
DAL212A	15
DAL10	11
BYC100	8
EHII	13
EHI	34
CARP17	10
CARP15	14
DAL1	11
TH110	57
CARP21	38
TH104	18
PK349	39
PK354	15
PK337	12
PK264	8
EHIII	15
PK336	45
TH102	23
DAL212E	2
PK338	58
BYC239	7
PK126	19
PK180	47
PK328	6
PK128	7
TAYSEM	12
DEDANCE	7
PK20	142
PK230	4
PK231	3
PEMSTD	11
SW8	5
ROSTUD	11
GOCOM	5
TH111	20
DAL6	9
Classes	264
Teachers	146
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	2
10	9
11	10
12	11
13	12
14	13
15	14
16	14
17	15
18	16
19	16
20	17
21	18
22	19
23	20
24	21
25	22
26	23
27	24
28	25
29	26
30	26
31	27
32	28
33	29
34	30
35	31
36	19
37	32
38	33
39	17
40	34
41	35
42	36
43	37
44	37
45	38
46	39
47	40
48	7
49	41
50	42
51	43
52	44
53	45
54	46
55	46
56	47
57	48
58	49
59	49
60	50
61	51
62	41
63	35
64	52
65	53
66	54
67	55
68	56
69	57
70	58
71	27
72	50
73	59
74	60
75	61
76	62
77	63
78	64
79	21
80	65
81	66
82	11
83	67
84	68
85	9
86	69
87	70
88	71
89	70
90	30
91	72
92	73
93	74
94	75
95	60
96	76
97	14
98	77
99	73
100	78
101	79
102	79
103	80
104	81
105	82
106	83
107	84
108	85
109	86
110	84
111	87
112	55
113	88
114	36
115	89
116	75
117	62
118	90
119	47
120	91
121	92
122	93
123	94
124	51
125	95
126	96
127	97
128	98
129	86
130	79
131	61
132	59
133	32
134	99
135	100
136	101
137	102
138	59
139	10
140	97
141	7
142	49
143	103
144	104
145	105
146	106
147	107
148	24
149	44
150	108
151	60
152	74
153	109
154	110
155	111
156	75
157	35
158	112
159	47
160	85
161	113
162	114
163	39
164	115
165	83
166	28
167	116
168	60
169	117
170	118
171	119
172	11
173	82
174	48
175	106
176	100
177	86
178	88
179	120
180	20
181	121
182	90
183	98
184	87
185	68
186	8
187	70
188	122
189	123
190	124
191	123
192	125
193	126
194	127
195	128
196	74
197	129
198	25
199	83
200	45
201	102
202	2
203	130
204	72
205	62
206	89
207	131
208	18
209	101
210	120
211	132
212	133
213	74
214	134
215	20
216	25
217	135
218	83
219	11
220	122
221	96
222	132
223	130
224	136
225	119
226	137
227	135
228	88
229	35
230	115
231	94
232	53
233	28
234	138
235	49
236	139
237	15
238	140
239	141
240	88
241	71
242	142
243	76
244	141
245	110
246	19
247	143
248	143
249	140
250	90
251	104
252	43
253	132
254	84
255	130
256	110
257	132
258	84
259	144
260	53
261	100
262	145
263	146
264	84
