Students	100
1	40 99 52 77
2	78 24 45 27
3	71 35 89 12
4	57 69 81 33
5	13 63 76 30
6	23 69 87 90
7	74 60 12 96
8	40 60 63 74
9	22 3 67 79
10	20 66 22 8
11	42 22 32 10
12	16 39 40 91
13	5 68 72 4
14	91 37 10 76
15	38 67 11 47
16	44 25 27 84
17	84 91 78 89
18	78 27 57 18
19	35 90 52 19
20	43 52 94 97
21	91 90 25 58
22	5 54 18 38
23	10 79 83 44
24	95 74 45 59
25	34 57 51 50
26	54 99 50 8
27	25 66 85 59
28	77 47 41 67
29	6 97 82 58
30	54 66 90 91
31	35 99 98 27
32	20 84 11 42
33	26 90 50 44
34	44 30 64 83
35	45 64 27 70
36	18 80 2 22
37	69 6 32 29
38	85 94 48 71
39	82 28 84 38
40	40 27 95 97
41	88 53 3 66
42	39 85 59 80
43	78 55 7 68
44	84 69 18 21
45	15 50 48 16
46	60 9 16 48
47	5 4 9 96
48	20 89 23 14
49	20 52 49 69
50	65 52 42 33
51	55 45 64 74
52	59 54 94 16
53	89 88 27 66
54	67 46 56 21
55	70 56 9 34
56	9 63 15 69
57	66 48 33 42
58	93 79 23 92
59	27 88 92 25
60	2 19 4 54
61	70 41 44 68
62	70 5 6 51
63	85 73 63 39
64	29 42 71 98
65	84 78 27 58
66	68 58 41 12
67	76 61 67 10
68	100 60 98 33
69	31 22 100 26
70	74 36 94 40
71	8 65 64 30
72	76 86 16 35
73	59 57 22 58
74	63 68 81 37
75	91 46 44 23
76	25 56 70 41
77	65 14 15 76
78	44 95 49 59
79	27 58 68 12
80	26 70 37 24
81	65 33 67 100
82	43 44 89 40
83	16 87 38 42
84	69 88 50 86
85	62 24 99 46
86	75 15 84 24
87	67 6 25 7
88	2 45 6 56
89	80 45 51 79
90	22 35 13 28
91	27 36 47 98
92	40 82 22 75
93	1 39 30 80
94	54 30 9 33
95	25 71 62 92
96	69 35 48 72
97	47 85 15 37
98	53 27 61 19
99	33 38 32 65
100	39 84 44 37
