Class Times	100
Rooms	100
1	407
2	458
3	267
4	97
5	528
6	292
7	618
8	128
9	952
10	340
11	843
12	933
13	555
14	284
15	162
16	829
17	402
18	671
19	844
20	179
21	885
22	908
23	202
24	45
25	11
26	948
27	341
28	21
29	949
30	424
31	224
32	989
33	457
34	607
35	413
36	22
37	370
38	54
39	686
40	979
41	92
42	899
43	816
44	930
45	141
46	375
47	782
48	403
49	720
50	428
51	831
52	250
53	491
54	978
55	755
56	36
57	199
58	175
59	97
60	292
61	627
62	145
63	346
64	617
65	678
66	870
67	854
68	653
69	682
70	487
71	582
72	615
73	327
74	355
75	448
76	756
77	252
78	744
79	358
80	894
81	604
82	863
83	546
84	255
85	707
86	331
87	157
88	115
89	953
90	63
91	698
92	259
93	446
94	214
95	879
96	358
97	969
98	975
99	639
100	226
Classes	100
Teachers	50
1	36
2	46
3	2
4	39
5	22
6	39
7	48
8	32
9	29
10	28
11	8
12	34
13	50
14	49
15	13
16	29
17	45
18	42
19	18
20	47
21	3
22	20
23	10
24	31
25	25
26	17
27	37
28	42
29	32
30	26
31	4
32	11
33	50
34	38
35	8
36	45
37	21
38	14
39	40
40	7
41	20
42	41
43	46
44	1
45	26
46	13
47	19
48	7
49	22
50	48
51	14
52	49
53	4
54	41
55	35
56	6
57	9
58	9
59	33
60	35
61	21
62	38
63	10
64	16
65	40
66	44
67	19
68	34
69	16
70	36
71	23
72	6
73	1
74	28
75	37
76	3
77	24
78	27
79	47
80	31
81	33
82	5
83	11
84	30
85	17
86	2
87	27
88	43
89	43
90	18
91	24
92	25
93	23
94	5
95	30
96	12
97	15
98	15
99	44
100	12
