Students	100
1	6093 1777 2009 1025
2	7665 6666 3537 4919
3	7874 2307 1460 3309
4	382 2946 1666 4666
5	6793 2027 3340 6045
6	6413 6080 2063 885
7	4247 4718 2416 6972
8	226 2389 6308 1016
9	7379 6920 7999 6779
10	5311 6261 2963 2323
11	7264 397 656 3030
12	506 1123 2795 2614
13	2168 3741 2418 5926
14	665 1965 2923 4253
15	6020 3179 6228 2814
16	3742 7066 5499 3780
17	4145 6614 2701 2475
18	3437 1209 6937 3185
19	4540 2274 698 7552
20	5838 2624 2326 7846
21	3404 7862 3043 2102
22	112 3023 4549 6376
23	6315 5881 1676 1090
24	5078 6536 2761 3101
25	5424 1862 5807 1754
26	5585 4998 268 6619
27	196 2506 148 7124
28	4926 1965 1473 3849
29	4706 6292 4052 7569
30	115 4008 5440 238
31	4161 1879 2392 3105
32	3636 3216 5770 7240
33	7301 7700 5287 3304
34	371 3543 4850 7920
35	1489 7389 2264 4972
36	5733 7522 5175 6526
37	1773 275 3232 4410
38	4587 3036 1341 4060
39	5887 5921 7629 6862
40	4369 4269 3407 3409
41	4111 741 6369 6921
42	1887 2596 3737 6269
43	6081 7033 6729 5964
44	5604 97 3057 4121
45	136 4276 2065 2313
46	5778 2567 1334 2700
47	6414 5351 2257 670
48	7637 4257 3228 1909
49	2925 369 1047 7477
50	1872 3299 2258 4844
51	5977 6100 2925 4173
52	2012 648 424 6563
53	4787 1504 5005 4986
54	5843 4548 6962 3470
55	817 7682 304 5673
56	1844 6939 976 7667
57	5318 7598 6122 2786
58	5672 5911 6146 7337
59	7730 5195 727 5353
60	83 3167 7277 204
61	3081 7090 1284 485
62	4192 3703 6383 2359
63	6189 812 15 3268
64	2855 2238 6114 3186
65	414 5580 5779 3390
66	3978 5676 719 6873
67	936 917 6836 318
68	4908 721 5370 3969
69	930 2937 5249 3445
70	2613 6992 3557 654
71	1761 5907 6449 7446
72	197 6352 7394 2893
73	5214 1774 2684 238
74	4345 857 7071 3348
75	7008 568 6640 5232
76	2633 4645 1294 6916
77	4266 4203 7233 1216
78	190 3217 6462 3975
79	7328 2930 5609 6027
80	6038 1028 2460 6901
81	4207 3767 5624 6281
82	6493 923 3312 5155
83	4229 7510 3608 4795
84	6327 4894 1588 7194
85	5794 5463 6956 7910
86	5988 6783 2342 7714
87	7935 4837 6098 6806
88	2952 7992 7476 2175
89	261 4759 5671 7967
90	5390 6888 2829 3331
91	5092 5188 212 2348
92	2640 3549 1894 4413
93	5025 2512 5455 6351
94	1533 3628 3987 4878
95	861 4419 308 608
96	2457 6535 2789 7102
97	4793 6692 880 6646
98	2115 7814 5580 2107
99	1913 7807 4384 4876
100	3230 5482 2126 5418
