Course	Room	Teacher	Time	Students
1	PK243	1	10	745 177 1 
2	PK25	2	17	948 965 754 977 913 986 920 1035 922 995 201 989 618 889 589 926 527 1025 1005 803 909 126 811 851 930 689 467 1007 360 862 945 1011 783 985 622 435 1044 745 1024 450 1023 950 736 1037 539 1016 112 984 712 591 3 773 960 654 328 595 1019 461 924 1000 872 805 904 955 952 696 
3	DAL204	3	1	920 995 966 961 884 1029 861 564 872 797 1009 532 929 954 353 2 
4	PK25	4	1	913 885 1035 1042 1089 87 1065 1027 862 748 570 711 934 1037 1016 1075 1052 910 817 974 1069 904 955 766 576 1088 553 403 1062 864 786 240 198 823 943 1078 
5	PK338	5	8	661 258 882 513 689 927 668 795 118 369 3 844 540 696 311 1055 1083 30 349 802 538 1034 841 
6	PK338	6	9	238 661 52 879 848 514 417 3 156 707 806 801 358 108 
7	PK338	7	10	814 826 853 3 590 
8	DAL204	8	2	216 432 666 950 397 600 960 359 4 590 328 946 753 95 777 363 953 310 16 604 647 356 581 486 1053 401 1017 610 936 1068 1041 611 1067 897 763 
9	PK338	9	11	86 1022 11 217 4 65 
10	PK338	10	12	5 325 755 
11	PK243	11	11	27 400 79 269 203 183 6 
12	PK338	12	13	300 137 373 322 475 10 38 141 393 397 302 166 694 202 113 319 473 98 401 83 353 132 168 812 278 263 6 147 
13	PK243	13	12	27 79 243 270 6 
14	PK243	14	13	8 18 292 111 167 157 165 58 313 172 51 7 78 
15	PK338	15	14	8 733 464 611 482 
16	PK338	16	15	657 784 23 391 100 554 526 164 225 411 595 9 548 842 473 702 617 465 701 808 212 
17	PK243	17	14	137 100 374 10 393 221 564 350 114 295 363 516 553 154 398 378 761 361 268 207 85 
