Students	1659
1	1 2 3 4
2	5 6 236 180
3	7 8
4	9 143
5	10 11 123 119
6	12 13 14 49
7	15 16 17
8	18
9	19 20 265 32
10	21 11 129
11	22 23 24 116
12	25 26 27 162
13	21 11
14	28 78 108
15	29 30 31 150
16	32 33 260
17	34 35 36 18
18	37 183 31 223
19	34 35 36
20	38 39 40 66 181
21	41 42 16
22	22 11 43 270
23	9 44 45 46
24	47 19 48 244
25	49 50 51 52
26	53 54 28 18
27	55
28	6 223 270
29	56
30	57 11 58 260
31	59 60 17
32	18 16 63
33	41 76
34	61 137 52 79 103 104
35	62 55 63
36	63 11 64 18
37	10 11 65 171
38	66 8
39	67 46 68
40	69 32 6
41	6 70 71 26 203
42	23 255 152
43	72 73 11 74
44	23 24 75 255
45	29 111 175
46	41 76 75 263
47	11 54 47 74
48	23 13 63 137
49	18 77 68 134
50	21 6 210
51	78 49
52	46 115
53	42 32 46
54	79 61 80 18 104
55	7 224 109
56	11 81 74 140
57	19 32 146 47
58	69 15 192 96
59	69 237
60	23 255 263 195
61	28 134 230
62	82 28 55
63	83 90 69 46
64	84 85 255
65	86 46 267 67
66	87 28 53
67	47 6 52
68	68 8
69	71 88 238 49
70	45 67 115
71	89 62 46
72	54 84 142
73	79 61 91
74	33 86
75	90 83
76	79 61 91 213
77	41 44
78	28 5 90
79	81 92 218
80	9 44
81	18 93 94 19
82	14 103 104 171
83	25 221
84	23 61
85	41 6 18
86	20
87	95 16 8 123
88	15 73 11 96
89	97 69 268 246
90	94 182 145 12
91	67 46 68
92	47 20
93	98 29 13 26
94	23 275
95	11 18 21
96	19 20 134 166
97	35 99 100
98	101 95 60 43
99	15 46 84 102 192
100	79 18 103 104
101	8 152
102	105 71 106 107
103	31 108 109 238
104	67 110 171 239
105	34 35 36
106	111 100 263 38
107	21 112 73 113 165
108	78 108 60 66
109	41 42 114 76
110	115 267 128 257
111	116 66 117 256
112	75 94 270
113	57 242
114	78 60
115	35 36 34 147 148
116	86 118 119 223
117	15 24 273
118	101 30 43
119	46 39 40 67
120	99 120 271
121	121 75 105 106 147
122	122 123 75 94
123	124 42 139 115
124	125 163 66
125	41 42 108 16
126	18 68
127	126 124 116
128	50 88 52 127
129	42 194 219
130	46 142
131	45 57 124 260
132	35 36 218
133	128 129 130
134	131 132 14 206
135	18 133
136	41 42 66 135
137	109 107 194
138	42 76
139	134 135 144 68
140	136 137 4 134
141	41 76 95 75
142	138 101 64 112
143	69
144	34 35 36
145	131 119 263
146	86 179 271 265
147	112 105 139 119
148	109 183
149	115 100 46 50
150	45 101 57
151	140 101 141 64
152	42 231 232 233
153	66 144 139 147 148
154	41 42 46 142
155	34 35 36
156	143 41 204
157	8
158	109 134 280
159	144 145 135 76
