Students	1644
1	1 2 108
2	3 4 5 209
3	6 7
4	8 9 10
5	11
6	12 13 14 275
7	15 16 17
8	18 19 20 227
9	21 18 22
10	23
11	24 67 105
12	25 26 203
13	27 18 28 29
14	30 31 32 118 36
15	33 32 34 11
16	35 36 37 38
17	39
18	40 14
19	35 25 41 37
20	1 42 268 112
21	43 44
22	45 20
23	46 47 48 49
24	50 51 45 297
25	52 9 28 78
26	23 53 54 179
27	55 196 176
28	56 15
29	57 2
30	48
31	20 58 59
32	21 1
33	15 257
34	60 239
35	15 17
36	61 62 63 64
37	46 49 65 20 43
38	66 62 74
39	15 290
40	27 67 68 69
41	27 25 18
42	18 47 70 199
43	59 254 255 256
44	27 71 41 129
45	72 73
46	73 131
47	69
48	74 69 7 41
49	75 43
50	76 77 32
51	78 79 38
52	80 81
53	43 82 274 44
54	83 18 19
55	73 84 85 268
56	67 199
57	86
58	43 87 88
59	21 89 90 292
60	33 91 92
61	93 232 305 35
62	22
63	94 22
64	57 95 43 96
65	52 9 43
66	43 183
67	69 123 166
68	97
69	62 215 26
70	27 28 41 123
71	98 99 100 166 20
72	32 99 136 116 204
73	101 67 68 34 33
74	21 89 157 292
75	61 62
76	27 52 104
77	44 217 43
78	33 102 103 34
79	104 23 105 293
80	32 266 117 196
81	106 107 14 123
82	108 109 62 293
83	110 111 97 169
84	23 166 117 221
85	112 271
86	69 41 241
87	57 79 99 94
88	45 98 166 20
89	23 105 55 113
90	114 15
91	69 241
92	24 115 22
93	27 71 52 49
94	116 117 45 32
95	80 118 105 44
96	119 43 189
97	43 44 39 150
98	43 44 199
99	94 166 63 154
100	42 112 139
101	112 270 99 153
102	32 120 121 196
103	35 122 99 38
104	77 40 32 117
105	74 61 62 152
106	43 47 89 249
107	18 69 59
108	123 100 69 63
109	2 69 165 215
110	20 2 98
111	35 124 229
112	125 126 128 109
113	117 188 276
114	48 96 44
115	109 62 262
116	87 119 127 10
117	128 48
118	27 25 43 48 47
119	59
120	15 129 172 62
121	27 18 50 123
122	12 73 130 131
123	132 36
124	76
125	32 61 126
126	119 14
127	27 18 89 81
128	133 73 95
129	43 44
130	74 61 62 288
131	48 44 134 95 217
132	73 131 201
133	69 2 291
134	135 30 132 136
135	27 159 81
136	51 45 137
137	60 28 68 145
138	138
139	69 123 140 162
140	28 139 52 82
141	43 18 242 141 251
142	18 140 14
143	101 60 68 141
144	123 140 14 97
145	50 245 59
146	142 89
147	8 1 147
148	102 143 121 81
149	102 144 130 206
150	101 60 145 68
151	146 89
152	8 66 89
153	147 94 51 186
154	27 209 51
155	123 148 14 191
156	47 149 150 96
157	31 132
158	151 27 18 139
159	152 28 142
160	57 69 140
161	69 97
162	153 89 154 238
163	155 130 263
164	57 30 122
165	117 94 143 156 116
166	157 4
167	94 129 161
168	158 159 75 209
169	94 180 305 153
170	59 266 83
171	43 28 166
172	101 60 68 34
173	114 153 160 106
174	140 161 105 162
175	106 167
176	3 140 54
177	59
178	163 47 145 81
179	43 164 119 96
180	52 25 41
181	143 140 165 2
182	166 254 255 256
183	167 106
184	47 49 143 96
185	123 7 2 140
186	152 5 134 106
187	102 94 122 121
188	142 119 126 100
189	60 142 5 105
190	168 123 97 140
191	27 41 229
192	16 169
193	170 128 43 171
194	172 173 137 45
195	101 60 94 68
196	43 96 47
197	174 300 303
198	101 60 28 68
199	43
200	18 144 140 209 28
201	119 307 201
202	125 4 191 55
203	32 121 141
204	175 145 128
205	62 105
206	176 146 71 123
207	95 200
208	52 177 120 29
209	43 178 184
210	57 153 92 199
211	158 179 189
212	180 130 118 179
213	18 27 288 19
214	144 41 28 209
215	114 181 178 160
216	168 171 81
217	168 182 183 193
218	145 181 184
219	141 110 189 72
220	185 186 116 289
221	4 150 114 271
222	132 141 18
223	27 72 148
224	187 8 72 210
225	168 266 72 175
226	71 72 28 14
227	57 188 13
228	185 166 130
229	18 149 130 143
230	52 72 46 213
231	94 189 4
232	72 141 14 236
233	11 145 47
234	57 94 89
235	14 166 102 135
236	123 173
237	56 190 191 138
238	52 192 28 266
239	171 193 4 80
240	110 4 288 266
241	180 57 123
242	194 55 309
243	66 195 85
244	18 1 141 99
245	18 141 164 50
246	126 130
247	142 145 95 164
248	5 190 265
249	196 145 184
250	191 130 197 154
251	30 57 120 146
252	52 72 99 113
253	195 130 227 19
254	60 141
255	43 5 80 203
256	57 160 81
257	37 116 229
258	51 45 100
259	190 144 17 157
260	56 174 114 160
261	18 24 145 14 242
262	18 203 145 1
263	189 43
264	175 168 53 183 134
265	190 271 304 265
266	198 133 99 310
267	199 47 203 135 134
268	71 27 14 57 18
269	18 28 13 57
270	199 200 124 95
271	57 51 45 200
272	17 16 189
273	201 2
274	49 123 71
275	202 9 89 79
276	104 48 44
277	157 62 218 112
278	43 48 96
279	190 15 197
280	195 43 44 123
281	77 32 62 61
282	123
283	73 85 134
284	73 289 190 114
285	159 61 200 291
286	159 58
287	72 115 22
288	156
289	43 204 243 44
290	66 74 28
291	142 73 63 268
292	21 103 205 154
293	9 215 26
294	57 94
295	102 117 135
296	126 81
297	25 28
298	20 40 39 156
299	24 22
300	27 71 18
301	60 43 44 217
302	97 215 26
303	101 60 68 206
304	207 80 203 130
305	27 71 18 28
306	52 72 314 276
307	8 72 83
308	208
309	169 276 251 92 131 308
310	101 60 145 68
311	27 18 243
312	51 209 137 72
313	152 77 130 103
314	94 154 205 292 57
315	142 134 50
316	104 209 218 263
317	210 92 243 169
318	43 70 47 206
319	27 52 28 243
320	101 60 68 141
321	51 207 178 297
322	13 14 191
323	81 168
324	101 60 164 203
325	198 94 189 236
326	80 6 123 200
327	211 145 221 164 95
328	110 179 283
329	94 125 51 191 251
330	8 72 160 114
331	71 72 200 212 94
332	189 81 258 13
333	50 123 201
334	72 28 173
335	12 5 152 145
336	189 164 55 232
337	69 123 143 54 200
338	166 77 163 94
339	155 75
340	38 268 180
341	50 140 213 205 134
342	189 40 130
343	214
344	24 130 93 22
345	47 215 48
346	132 31 226
347	31 32
348	62 207
349	47 48
350	48 216 96 44
351	99 116 156
352	77 32 69 113 134
353	218 112 62
354	219 168 44
355	220 152 70 88
356	81 7
357	132 14 148
358	143 148
359	221 99 75 193
360	168 218 243
361	72 24 113 120 301 242
362	132 206 102
363	145 153 49 189
364	222 223 63 2
365	4 63 95
366	24 221 224 203
367	4 141 153 72
368	110
369	173 225 226 8
370	190 174 172 267
371	130 167 152
372	72 82 71 28
373	18 145 28 261
374	52 201 28 41
375	46 143 123 140
376	143 14 63
377	18 130 226 79
378	142 157 295
379	227 121
380	43 48 44 63
381	48 96
